#,Associated Cell Fate,Probabilities,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1,
69,Stationary G1 phase,0.53902,0,0,0,0,1,0,0,0,1,0,0,
385,,0.11506,0,0,1,1,0,0,0,0,0,0,0,
581,,0.083362,0,1,0,0,1,0,0,0,1,0,0,
1,,0.082584,0,0,0,0,0,0,0,0,0,0,0,
5,,0.077631,0,0,0,0,0,0,0,0,1,0,0,
65,,0.058251,0,0,0,0,1,0,0,0,0,0,0,
517,,0.014168,0,1,0,0,0,0,0,0,1,0,0,
101,Excited G1 state,0.004259,0,0,0,0,1,1,0,0,1,0,0,
117,M phase,0.0027255,0,0,0,0,1,1,1,0,1,0,0,
52,M phase,0.0020809,0,0,0,0,0,1,1,0,0,1,1,
56,M phase,0.0020703,0,0,0,0,0,1,1,0,1,1,1,
54,M phase,0.0020673,0,0,0,0,0,1,1,0,1,0,1,
156,M phase,0.0012431,0,0,0,1,0,0,1,1,0,1,1,
905,S phase,0.0011276,0,1,1,1,0,0,0,1,0,0,0,
908,G2 phase,0.0011247,0,1,1,1,0,0,0,1,0,1,1,
897,Excited G1 state,0.0010474,0,1,1,1,0,0,0,0,0,0,0,
965,Excited G1 state,0.00070843,0,1,1,1,1,0,0,0,1,0,0,
837,Excited G1 state,0.00070765,0,1,1,0,1,0,0,0,1,0,0,
453,,0.0005413,0,0,1,1,1,0,0,0,1,0,0,
197,,0.0005401,0,0,0,1,1,0,0,0,1,0,0,
85,,0.00053968,0,0,0,0,1,0,1,0,1,0,0,
325,,0.00053961,0,0,1,0,1,0,0,0,1,0,0,
70,,0.00053956,0,0,0,0,1,0,0,0,1,0,1,
1093,Start signal,0.00053956,1,0,0,0,1,0,0,0,1,0,0,
