ARF	ATM	CycE	Rb	AKT	CycG	MdmX	p53	Wip1	Mdm2	Mdm2
0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	1	0	1
0	0	0	0	0	0	0	0	1	1	1
0	0	0	0	0	0	0	1	0	0	1
0	0	0	0	0	0	0	1	0	1	1
0	0	0	0	0	0	0	1	1	0	1
0	0	0	0	0	0	0	1	1	1	1
0	0	0	0	0	0	1	0	0	0	1
0	0	0	0	0	0	1	0	0	1	1
0	0	0	0	0	0	1	0	1	0	1
0	0	0	0	0	0	1	0	1	1	1
0	0	0	0	0	0	1	1	0	0	1
0	0	0	0	0	0	1	1	0	1	1
0	0	0	0	0	0	1	1	1	0	1
0	0	0	0	0	0	1	1	1	1	1
0	0	0	0	0	1	0	0	0	0	1
0	0	0	0	0	1	0	0	0	1	1
0	0	0	0	0	1	0	0	1	0	1
0	0	0	0	0	1	0	0	1	1	1
0	0	0	0	0	1	0	1	0	0	1
0	0	0	0	0	1	0	1	0	1	1
0	0	0	0	0	1	0	1	1	0	1
0	0	0	0	0	1	0	1	1	1	1
0	0	0	0	0	1	1	0	0	0	1
0	0	0	0	0	1	1	0	0	1	1
0	0	0	0	0	1	1	0	1	0	1
0	0	0	0	0	1	1	0	1	1	1
0	0	0	0	0	1	1	1	0	0	1
0	0	0	0	0	1	1	1	0	1	1
0	0	0	0	0	1	1	1	1	0	1
0	0	0	0	0	1	1	1	1	1	1
0	0	0	0	1	0	0	0	0	0	1
0	0	0	0	1	0	0	0	0	1	1
0	0	0	0	1	0	0	0	1	0	1
0	0	0	0	1	0	0	0	1	1	1
0	0	0	0	1	0	0	1	0	0	1
0	0	0	0	1	0	0	1	0	1	1
0	0	0	0	1	0	0	1	1	0	1
0	0	0	0	1	0	0	1	1	1	1
0	0	0	0	1	0	1	0	0	0	1
0	0	0	0	1	0	1	0	0	1	1
0	0	0	0	1	0	1	0	1	0	1
0	0	0	0	1	0	1	0	1	1	1
0	0	0	0	1	0	1	1	0	0	1
0	0	0	0	1	0	1	1	0	1	1
0	0	0	0	1	0	1	1	1	0	1
0	0	0	0	1	0	1	1	1	1	1
0	0	0	0	1	1	0	0	0	0	1
0	0	0	0	1	1	0	0	0	1	1
0	0	0	0	1	1	0	0	1	0	1
0	0	0	0	1	1	0	0	1	1	1
0	0	0	0	1	1	0	1	0	0	1
0	0	0	0	1	1	0	1	0	1	1
0	0	0	0	1	1	0	1	1	0	1
0	0	0	0	1	1	0	1	1	1	1
0	0	0	0	1	1	1	0	0	0	1
0	0	0	0	1	1	1	0	0	1	1
0	0	0	0	1	1	1	0	1	0	1
0	0	0	0	1	1	1	0	1	1	1
0	0	0	0	1	1	1	1	0	0	1
0	0	0	0	1	1	1	1	0	1	1
0	0	0	0	1	1	1	1	1	0	1
0	0	0	0	1	1	1	1	1	1	1
0	0	0	1	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0	1	0	0
0	0	0	1	0	0	0	0	1	1	1
0	0	0	1	0	0	0	1	0	0	0
0	0	0	1	0	0	0	1	0	1	1
0	0	0	1	0	0	0	1	1	0	1
0	0	0	1	0	0	0	1	1	1	1
0	0	0	1	0	0	1	0	0	0	1
0	0	0	1	0	0	1	0	0	1	1
0	0	0	1	0	0	1	0	1	0	1
0	0	0	1	0	0	1	0	1	1	1
0	0	0	1	0	0	1	1	0	0	1
0	0	0	1	0	0	1	1	0	1	1
0	0	0	1	0	0	1	1	1	0	1
