	ATM	p53	Mdm2	MdmX	Wip1	Cyc G	 Pten 	p21	AKT	Cyc E	RB	E2f1	p14ARF	BCL-2	Bax	Caspase
ATM	0	2	-2	-2	0	0	0	0	0	0	2	1	0	0	0	0
p53	0	0	1	0	2	2	2	3	0	0	0	0	-2	-2	2	0
Mdm2	0	-3	0	-4	0	0	0	-1	0	0	-1	1	0	0	0	0
MdmX	0	-2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Wip1	-2	0	1	1	0	0	0	0	0	0	0	0	-1	0	0	0
Cyc G	-2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
 Pten 	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0
p21	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	-1
AKT	0	0	1	2	0	0	0	-1	0	0	0	0	0	2	0	-1
Cyc E	0	0	-2	0	0	0	0	0	0	0	-1	0	0	0	0	0
RB	0	0	-2	0	0	0	0	0	0	0	0	-1	0	0	0	0
E2f1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1
p14ARF	0	0	-3	-3	0	0	0	0	0	0	0	-3	0	0	0	0
BCL-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
Bax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Caspase	0	0	0	0	0	0	0	0	0	0	-3	0	0	-1	0	0
																
																
																
																
Basal Values	-1	1	1	1	-1	1000	-1000	-1	1	1	0	1	-1000	0	-1	-1
