#,Associated Cell Fates,Steady State Probability,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
1,,0.083624,0,0,0,0,0,0,0,0,0,0,0
2,,0.00011187,0,0,0,0,0,0,0,0,0,0,1
3,,8.2913e-05,0,0,0,0,0,0,0,0,0,1,0
4,,1.7485e-07,0,0,0,0,0,0,0,0,0,1,1
5,,0.07864,0,0,0,0,0,0,0,0,1,0,0
6,,7.8876e-05,0,0,0,0,0,0,0,0,1,0,1
7,,3.7042e-06,0,0,0,0,0,0,0,0,1,1,0
8,,3.8173e-09,0,0,0,0,0,0,0,0,1,1,1
9,,8.3247e-05,0,0,0,0,0,0,0,1,0,0,0
10,,5.8229e-05,0,0,0,0,0,0,0,1,0,0,1
11,,8.6957e-08,0,0,0,0,0,0,0,1,0,1,0
12,,8.3097e-05,0,0,0,0,0,0,0,1,0,1,1
13,,3.7431e-06,0,0,0,0,0,0,0,1,1,0,0
14,,6.5531e-09,0,0,0,0,0,0,0,1,1,0,1
15,,3.2805e-10,0,0,0,0,0,0,0,1,1,1,0
16,,3.8437e-09,0,0,0,0,0,0,0,1,1,1,1
17,,8.3708e-05,0,0,0,0,0,0,1,0,0,0,0
18,,7.7163e-06,0,0,0,0,0,0,1,0,0,0,1
19,,9.2134e-08,0,0,0,0,0,0,1,0,0,1,0
20,,8.4024e-05,0,0,0,0,0,0,1,0,0,1,1
21,,7.8729e-05,0,0,0,0,0,0,1,0,1,0,0
22,,0.00011604,0,0,0,0,0,0,1,0,1,0,1
23,,6.0869e-09,0,0,0,0,0,0,1,0,1,1,0
24,,2.1835e-06,0,0,0,0,0,0,1,0,1,1,1
25,,8.333e-08,0,0,0,0,0,0,1,1,0,0,0
26,,6.583e-08,0,0,0,0,0,0,1,1,0,0,1
27,,1.2886e-08,0,0,0,0,0,0,1,1,0,1,0
28,,0.0002825,0,0,0,0,0,0,1,1,0,1,1
29,,3.7472e-09,0,0,0,0,0,0,1,1,1,0,0
30,,5.1734e-09,0,0,0,0,0,0,1,1,1,0,1
31,,6.3978e-13,0,0,0,0,0,0,1,1,1,1,0
32,,9.251e-10,0,0,0,0,0,0,1,1,1,1,1
33,,8.4026e-05,0,0,0,0,0,1,0,0,0,0,0
34,,1.9526e-07,0,0,0,0,0,1,0,0,0,0,1
35,,8.8187e-08,0,0,0,0,0,1,0,0,0,1,0
36,,9.5166e-08,0,0,0,0,0,1,0,0,0,1,1
37,,7.8901e-05,0,0,0,0,0,1,0,0,1,0,0
